"","lon","lat"
"282",NA,NA
"283",NA,NA
"284",NA,NA
"285",NA,NA
"286",77.59369,12.97194
"287",NA,NA
"288",NA,NA
"289",NA,NA
"290",9.08744,45.80998
"291",-55,-10
"292",NA,NA
"293",NA,NA
"294",-118.24368,34.05223
"295",NA,NA
"296",-74.005973,40.714269
"297",NA,NA
"298",101.68653,3.1412
"299",NA,NA
"300",NA,NA
"301",-43.2075,-22.90278
"302",7,1
"303",NA,NA
"304",-74.08175,4.60971
"305",NA,NA
"306",NA,NA
"307",-84.47772,37.98869
"308",NA,NA
"309",NA,NA
"310",NA,NA
"311",-122.44775,37.7516
"312",-51.23,-30.03306
"313",122,-25
"314",NA,NA
"315",NA,NA
"316",NA,NA
"317",-97.771258,30.326374
"318",NA,NA
"319",-80.239996,25.728662
"320",-60.63932,-32.94682
"321",NA,NA
"322",NA,NA
"323",-73.992602,40.742185
"324",-80,9
"325",-4.76667,37.88333
"326",NA,NA
"327",-66,8
"328",NA,NA
"329",NA,NA
"330",-67.59583,10.24694
"331",NA,NA
"332",NA,NA
"333",NA,NA
"334",2,46
"335",NA,NA
"336",NA,NA
"337",NA,NA
"338",NA,NA
"339",NA,NA
"340",-0.70107,38.26218
"341",NA,NA
"342",NA,NA
"343",NA,NA
"344",-55,-10
"345",-118.248405,33.973951
"346",-3.18,51.48
"347",NA,NA
"348",-55,-10
"349",-102,23
"350",-74.005973,40.714269
"351",-76,-10
"352",NA,NA
"353",-43.93778,-19.92083
"354",32,0.5
"355",NA,NA
"356",-119.75126,37.25022
"357",-74.005973,40.714269
"358",-77.02824,-12.04318
"359",-121.803388,47.432251
"360",NA,NA
"361",123.89071,10.31672
"362",-40.72194,-20.83778
"363",-74.005973,40.714269
"364",-73.989319,40.694481
"365",NA,NA
"366",NA,NA
"367",-123.11934,49.24966
"368",NA,NA
"369",NA,NA
"370",NA,NA
"371",-121.141636,38.666597
"372",NA,NA
"373",NA,NA
"374",NA,NA
"375",-0.1969,5.55602
"376",4.84671,45.74846
"377",-55,-10
"378",-77.34306,25.05823
"379",-76.1496,45.1953
"380",NA,NA
"381",-99.25061,31.25044
"382",-64,-34
"383",NA,NA
"384",-80.19366,25.77427
"385",-118.381697,34.093828
"386",NA,NA
"387",-46.63611,-23.5475
"388",-118.168135,33.803448
"389",9,34
"390",NA,NA
"391",NA,NA
"392",NA,NA
"393",NA,NA
"394",NA,NA
"395",-74.005973,40.714269
"396",-95.309789,29.813142
"397",NA,NA
"398",NA,NA
"399",-56.09667,-15.59611
"400",-98.5,39.76
"401",NA,NA
"402",-40.2925,-20.32972
"403",-60,-36
"404",NA,NA
"405",NA,NA
"406",-99.12766,19.42847
"407",-76.985461,42.680562
"408",NA,NA
"409",-96.834703,46.927094
"410",-9.13333,38.71667
"411",NA,NA
"412",NA,NA
"413",NA,NA
"414",NA,NA
"415",29.08403,40.19266
"416",NA,NA
